NomeCandidato;NumeroUrna;QtdZonasVotado
VOGPP - MARIA DE LOURDES;23147;41
WADÃO E O JEGUE DENTE DE OURO;15234;51
WAGNER MANFRE;23011;51
WAGNER S. CASTRO;27644;43
WALTER FELIX;43151;32
WATANABE;14169;50
WELLINGTON REIS;40130;46
WILLAMS ARIS;50600;56
WILLIAM DO GARAJÃO;65374;33
WILLIAM FREITAS;10200;53
WILLIAM KRONENBERGER;20111;51
WILMA MIRANDA;14040;42
WILSON BEIJA FLOR;19799;29
WILSON GUANAIS;12195;17
XAVIER LOPES;43445;51
XOXO;23623;39
YEDA;19221;30
ZEBRÃO;14013;33
ZENAIDE;33600;13
ZENILTON;31111;43
ZORAIDE NOBRE;10910;41
ZÉ CABELEIREIRO;50450;49
ZÉ CLAUDIO;31452;36
ZÉ DA LUA;19299;30
ZÉ MARIA DO FUTEBOL;27100;50
ZÉ MINEIRO;33100;40
ZÉ PILLIN;28851;30
ZÉ TRINDADE;65650;45
ZÓZIMO MARANHÃO;33700;23
ÁLVARO;27222;44
ÁQUISON;33933;13
