NomeCandidato;NumeroUrna;QtdZonasVotado
DR. LUIZ;65556;28
DR. MARCELO MACHADO;19222;54
DR. PAULO ROBERTO ROSENO;70133;47
DR. RENATO;14020;46
DR. RODNEI CESAR;44157;44
DR. SEBASTIÃO;10545;48
DR. WALTER;43431;55
DR. WASHINGTON ARAUJO;43080;51
DR.CELSO SANTOS;70198;43
DR.GIULIANO FIORETTI;23079;49
DRA MÁRCIA;13168;46
DRA ROSSANNA NOCITO;12027;43
DRA. GRACIELA TABARELLI;14700;53
DRA. VANESSA;20303;50
DRª HAIFA;43903;53
DUDU DO BRAS;33140;14
DULCE HELENA;70051;31
DÉBORA FERREIRA;33789;14
ED CARLOS;10233;55
EDDY LIMA SHOW;13007;53
EDI;12111;47
EDINALVA PEDREIRA;27367;7
EDINORÁ;15756;41
EDMAR FERREIRA;19400;51
EDMILSON CARIOLANDO;43113;30
EDNA DIAS;27075;35
EDSINHO;65276;17
EDSON CLARO;44777;55
EDUARDO ALMEIDA NETO;16007;40
EDUARDO GIRON;70333;51
EDUARDO SANAZAR;70000;57
EGIDIO DA PADARIA;27057;9
ELAINE CORREA;11666;52
ELCIO MUNIN;43900;24
ELIANA TOSCANO;50220;31
ELIANE CHAGAS;65135;37
ELIAS INSTRUTOR;50737;37
ELIAS TANAKA;14325;38
ELIEL JUNQUEIRA;15062;41
ELIENE RIBEIRO;20700;36
ELISEU SOARES;50105;33
ELIZEU SANTOS;28887;9
ELIÉZER;65600;42
ELTON ALVES;27181;20
EMERSON RICARDO;65755;30
ENFERMEIRO GERMANO VETTAS;70771;41
ENG. RENATO DAMAS;11567;51
ENIO GOMES;45700;57
ENOQUE NASCIMENTO;44119;32
ERALDO ESSE É DA COMUNIDADE;43643;43
ERICK MACIEL;17233;39
ESTER;14123;55
EVERALDO CHIBIU;31222;35
EVERALDO FERREIRA;70444;21
FABIANA EISSER;19026;37
FABIO ADONIS;65199;54
FABIO CARVALHO;65777;44
FABIO OGAWA;27400;25
FABIO RUAS;15157;42
FABIO SIQUEIRA;31144;45
FABIO SOUTO;55013;57
FARIA LIMA;23502;28
FARID;45600;57
FATEL BARBOSA;14051;50
FATIMA;13564;51
