NomeCandidato;NumeroUrna;QtdSecoesVotado
CLAUDIO PRADO;12345;11304
CLAUDIO SILVA;19500;1649
CLEBER CAMPOS;50999;390
CLEUSA BADANAI;12140;112
CLODOALDO AZEVEDO;12056;265
CLOVIS ARAUJO;15007;2340
COITÉ DO AÇOUGUE;19223;807
COMANDANTE HERMINE;21621;369
CONCEICAO VILLAS BOAS;23500;166
CONCEIÇÃO;65245;822
CONCEIÇÃO DOS SANTOS;28822;257
CONTE LOPES;14138;14508
CORONEL CAMILO;55190;13240
CORONEL QUEIROZ;43721;432
CORONEL RICARDO;15578;3370
CORONEL TELHADA;45190;20693
CORRETORA MARLENE;44314;38
CREUSA VIERA;22610;157
CREUZA;15136;50
CRISTIANE MOURA;19175;369
CRISTINA;12110;30
CRISTINA KIRSNER;43131;1009
CYBELE FRANZI;12900;363
DAGMAR FIZIO;55900;262
DAGOBERTO BRANDAO;43386;400
DALL PIPAS;50001;402
DALTON SILVANO;43888;9187
DALVA DE OLIVEIRA;10010;521
DAMIÃO VIGILANTE;17123;618
DANI SCHWERY;45300;486
DANIEL ARAUJO;65565;249
DANIEL MILA;36217;358
DANIEL MONTEIRO;23600;456
DANON;44418;737
DANONE;31011;414
DAVI MORAES;12001;141
DAVID BRANCO;70970;131
DAVID FERNANDES;25255;2836
DAVID SOARES;55321;15740
DEBORAH VERISSIMO;43699;607
DELLA MONICA;23047;273
DELVAIR PRADO;12789;1009
DENILSON VILELA;33231;78
DENISE DEDA;54542;1
DENISIA LIMA;22800;315
DENIVAL - ESSE É O CARA;55755;1269
DERCIO PIPAS;10154;443
DILZA MURAMOTO;55655;2099
DINA BARBOSA;12859;119
DINEI;12018;6286
DIRCE TERRIANO;23275;63
DJALMA FILHO;33678;45
DONATO;13700;11066
DONATO RAPOLLI;14713;151
DORA REATEGUI;19191;84
DORINHA ANDORINHA;43055;373
DOUTOR GARCIA;33123;69
DOUTOR KIM;55456;4482
DOUTOR MARCOS;19192;811
DOUTOR MILTON FERREIRA;55600;5529
DR FREITAS;25678;2060
DR LAURO;31777;311
DR LUIZ MENDES;19456;64
DR MARCOS RAUL;50456;345
DR MARCÃO DA MANCHA;10987;1281
DR THOMAZ DO SAMU;31192;3251
DR. ALEX SANTOS;12899;174
DR. ALEXANDRE NOGUEIRA;23347;119
DR. AUGUSTO;15011;1917
DR. CALVO;15633;7989
DR. CAMEIRÃO;14171;215
DR. CLAUDIO MUTTI;43321;1845
DR. CRISTIANO MOREIRA;65222;282
DR. ELISEU;15444;1092
DR. FAISSAL;22022;2099
DR. FLAVIO IIZUKA;65555;1711
DR. LUIZ;65556;307
DR. MARCELO MACHADO;19222;2175
DR. PAULO ROBERTO ROSENO;70133;715
DR. PEDRO KAKÁ;55222;7146
DR. QUEDA;15215;1987
DR. RAPHAEL HAMAOUI;15018;2099
DR. RENATO;14020;373
DR. RODNEI CESAR;44157;363
DR. SEBASTIÃO;10545;636
DR. SÉRGIO CRUZ;54321;925
DR. WALTER;43431;752
DR. WASHINGTON ARAUJO;43080;533
DR.CELSO SANTOS;70198;677
DR.FARHAT -ADVOGADO DO RATINHO;22000;13099
DR.GIULIANO FIORETTI;23079;1327
DRA ANTONIA TANG;12444;1004
DRA MÁRCIA;13168;516
DRA ROSSANNA NOCITO;12027;383
DRA. GRACIELA TABARELLI;14700;719
DRA. VANESSA;20303;494
DRª HAIFA;43903;1124
DUDU DO BRAS;33140;42
DULCE HELENA;70051;259
DÉBORA FERREIRA;33789;26
ED CARLOS;10233;729
EDDY LIMA SHOW;13007;371
EDI;12111;232
EDINALDO COSTA;11555;2059
EDINALVA PEDREIRA;27367;23
EDINORÁ;15756;525
EDIR SALES;55123;8408
EDMAR FERREIRA;19400;465
EDMILSON CARIOLANDO;43113;133
EDNA DIAS;27075;224
EDSINHO;65276;185
EDSON CLARO;44777;410
EDSON ONISHI;20200;1417
EDUARDO ALMEIDA NETO;16007;334
EDUARDO GIRON;70333;364
EDUARDO SANAZAR;70000;695
EDUARDO TUMA;45555;14784
EGIDIO DA PADARIA;27057;24
ELAINE CORREA;11666;775
ELCIO MUNIN;43900;224
ELIANA DE LIMA;65065;1276
ELIANA MORAES;13444;713
ELIANA TOSCANO;50220;153
ELIANE CHAGAS;65135;347
ELIAS INSTRUTOR;50737;217
ELIAS TANAKA;14325;303
ELIEL JUNQUEIRA;15062;327
ELIENE RIBEIRO;20700;96
ELISEU GABRIEL;40123;10839
ELISEU SOARES;50105;170
ELIZEU SANTOS;28887;30
ELIÉZER;65600;188
ELTON ALVES;27181;56
EMERSON RICARDO;65755;359
EMILIANO ZAPATA;13123;5277
EMILIO ROMERO;14001;1110
ENFERMEIRO GERMANO VETTAS;70771;190
ENG. RENATO DAMAS;11567;658
ENIO GOMES;45700;1545
ENOQUE NASCIMENTO;44119;160
ERALDO ESSE É DA COMUNIDADE;43643;566
ERICK MACIEL;17233;489
ESTER;14123;577
EVERALDO CHIBIU;31222;428
EVERALDO FERREIRA;70444;36
EVERSON MARCOS;45747;3442
FABIANA EISSER;19026;180
FABIO ADONIS;65199;994
FABIO CARVALHO;65777;204
FABIO OGAWA;27400;81
FABIO RUAS;15157;395
FABIO SIQUEIRA;31144;211
FABIO SOUTO;55013;1667
FABRICIO COBRA;45455;5767
FARIA LIMA;23502;117
FARID;45600;1449
FATEL BARBOSA;14051;546
FATIMA;13564;502
FATIMA BARBOSA;43251;1015
FATIMA BARREIRA;15332;234
FELICIA;43003;214
FELIPE GUERRA;23015;443
FERNANDO ARAUJO;12400;379
FERNANDO BIKE;50007;556
FERNANDO NUNES;14002;641
FERNANDO VILA VERDE;22900;943
FERNANDO ZONA SUL;40321;1064
FERREIRA COHAB I;50111;728
FLAVIUS;15008;433
FLEXA;12262;440
FLOR;22007;471
FLORIANO PESARO;45444;11307
FRAN;19083;65
FRAN DA AEC KAUÊ;14600;1785
FRANCIS CABELEIREIRO;65410;372
FRANCISCA SURIANO;43088;359
FRANCISCO CHAGAS;13900;6733
FRANCISCO LINHARES;50193;224
FRANCISCO MIGUEL;65349;122
FRANCISCO NOGUEIRA;33191;229
FRANCISCO SOUZA;33133;306
FRANKLIN ANDRADE;23022;276
FRED DIMOV;14369;633
FRED PACHECO;15010;6201
FRED RIBEIRO;19219;94
FREDERICO SOSNOWSKI;50850;681
FÁBIO MOURÃO;14033;1058
FÁBIO RIVA;45780;8570
GABIN;20456;599
GABRIEL MEDINA;13321;3988
