NomeCandidato;NumeroUrna;QtdSecoesVotado
PR. CARDOSO;14112;930
PR. CARLOS;23444;231
PR. JORGE;23477;165
PR. PAGLIARINI;45777;8582
PROF JANETE;12767;87
PROF JONIAS DE SOUZA;12127;534
PROF MARCELO;12500;531
PROF NILVA;12157;851
PROF ODETTE CARVALHO;12967;388
PROF TONINHO ORMUNDO;50789;4627
PROF VERA PINZON;50777;513
PROF. ABEL;23852;1121
PROF. ALESSANDRO ROSSINI;23223;710
PROF. ALVES RIBEIRO;54152;328
PROF. ANGELA VENANCIO;65700;464
PROF. FRANCISCO COSTA;65345;539
PROF. MARCEL FERRADA;43320;765
PROF. MARCO PANIQUAR;23007;122
PROF. NIVALDO MOURA;44955;271
PROF. PIPOCA;23013;1294
PROF. RENATO SANTOS;43210;2057
PROF. SHIN;31888;3182
PROF. VALDINÉIA;50143;21
PROF. VANDA ROSA;44344;203
PROF. WILLIAM SANCHES;15123;5955
PROF.CELSO ARAUJO;23700;429
PROF.LÉIA;44228;213
PROFESSOR ARNALDO;31910;884
PROFESSOR BIRA;10455;1044
PROFESSOR CARLITO;50612;494
PROFESSOR CLEBER ARAUJO;19012;899
PROFESSOR CLÁUDIO;15059;445
PROFESSOR DIMITRI;50200;430
PROFESSOR EDSON QUEIROZ;50050;631
PROFESSOR EMERSON;31453;1253
PROFESSOR EVERALDO;31110;434
PROFESSOR GIBA;13130;5493
PROFESSOR ISAIAS CORREIA RIBAS;43101;223
PROFESSOR MATIAS VIEIRA;13227;2020
PROFESSOR MIGUEL;17013;122
PROFESSOR NASSER;70123;399
PROFESSOR PERU;19979;420
PROFESSORA BIA DO RUTH;15922;1429
PROFESSORA FREIRE;31014;379
PROFESSORA IRENE;31016;888
PROFESSORA LEDINHA;31231;423
PROFESSORA MARGARIDA;10194;564
PROFESSORA MARIETTE;70555;131
PROFESSORA ROSIRIS;14900;673
PROFESSORA SONINHA;31015;313
PROFESSORA VIVIAN PIN;31789;600
PROFª ELIANE REIS;40008;470
PROFª MAJÔ;65303;271
PROFª MARIVALDA;13773;350
PROFª ROSANGELA RESENDE;23116;16
PROFª ZINHA;23137;716
PROFª. LUCY;10190;733
PROFª. MAFALDA;33563;299
PROFº EMERSON;65888;462
QUITO FORMIGA;22700;11638
RAFAEL DE OLIVEIRA;27333;185
RAFAEL MARMO;50060;713
RAFAEL ONG;14012;554
RALFI;20888;341
RAUL FELIX;31009;195
RAUL GIL JR;20500;9127
REANOLFO;36100;193
REGIANE OLIVEIRA;36909;27
REGINA LAURA;43043;852
REGIS;70200;219
REGIS DO FORRÓ;44150;79
REINALDO;13000;5376
REIS;13651;9635
REJANE DIAS;14011;372
RENATO BORGIANI;31758;440
RG RICARDO GOMES;25888;1066
RIBAMAR;23400;449
RICARDINHO DA COHABE;17167;509
RICARDO BUNDUKY;40040;165
RICARDO DOS PROJETOS;70973;26
RICARDO GIANNICO;22321;998
RICARDO HOLZ;15610;1235
RICARDO L. CARMO;15888;1577
RICARDO NICASTRO;40087;131
RICARDO NUNES;15115;7382
RICARDO OKADA;44001;85
RICARDO REI;50800;458
RICARDO TEIXEIRA;43678;8573
RICARDO YOUNG;23000;13665
RICCO SANT'ANNA;14522;2454
RICHARD;23180;190
RICHARD ARAÚJO;16009;38
RINALDO VIANA;20190;381
RITA XT;13177;453
RIVER;23258;646
ROBERTA NININ;13413;58
ROBERTO AVELINO;19319;128
ROBERTO CASSEB;13111;3651
ROBERTO GUIDO;13131;3613
ROBERTO MAGUILA DO BRAS;70667;290
ROBERTO PIRES;15621;2386
ROBERTO REIS ( CACO);70300;211
ROBERTO VENTURA;28828;165
ROBSON PASTEL;14007;1158
ROCHA DA PENHA;70015;174
RODNEI MACHADO;31100;1029
RODOLFO DESPACHANTE;31380;1649
ROGER PROFESSOR E SOCIALISTA;16001;426
ROGERIO LOPES;10300;663
ROGÉRIO AZEVEDO;15001;2929
ROGÉRIO FREIHAT;65533;234
ROGÉRIO MARQUES;14477;809
ROGÉRIO RODRIGUES;20400;1315
ROMEL GIMENES;13668;1006
RONY PETERSON;28848;628
ROQUE JORGE;65188;413
ROSA LIA;15014;11
ROSA MARIA;28829;19
ROSA RIBEIRO;70377;103
ROSA RICHTER;55888;3254
ROSALVO SALGUEIRO;45400;2443
ROSANGELA MELLO;31287;370
ROSATTO;14999;198
ROSE ALEIXO;13725;37
ROSE DO LIMÃO;33127;140
ROSEMERI MARCONDES;27014;251
ROSSANO LIPPI;19998;453
ROSÂNGELA ZANON;54999;10
ROVERE;20193;107
ROZUYTA;54144;105
RUBENITO;19123;274
RUBENS ITO;12790;232
RUBENS PROENÇA;50500;340
RUBINHO DO POVO;65640;388
RUTH ROCHA;36896;226
SAITO SAN;31004;666
SALOMÃO PEREIRA;45500;13168
SAMANTHA CONSTANZA;31311;1637
SAMANTHA MORAES;15999;1334
SANDRA HAINE;31321;286
SANDRA PANDOLFI;43040;550
SANDRA TADEU;25000;13075
SANDRO ALVES;50333;99
SANDRO LIMA DA SAÚDE;12192;492
SANDRO SURDO;50033;2168
SARGENTO MAURICIO DE SOUZA;31112;228
SAUDE ABEL;12666;209
SELMA ROCHA;13310;10834
SENIVAL MOURA;13800;8138
SERGINHO BBB;55025;2385
SERGINHO DA LAN HOUSE;19130;367
SERGIO KOEI;16002;130
SERGIO OLIVASTRO;23234;530
SERGIO OLIVEIRA;12193;1104
SERGIO OLIVEIRA FILHO;11222;681
SERGIO TERRA;23363;1156
SERROTE;12012;2916
SEU JORGE 'MARTINHO DA VILA';43634;446
SEU MADRUGA;20631;838
SGT MENDES;50151;11
SIDERAL;54500;296
SIDNEI DA ROCHA CUPIDO;43734;235
SIDNEI SILVA;23111;672
SIDNEY OLIVEIRA;43543;11349
SILAS VAZ;19009;573
SILVANA;44147;113
SILVETTY MONTILLA;50077;3926
SILVIA CRISTINA;36117;15
SILVINHO PARA VEREADOR DO POVO;31124;177
SILVIO CAMBAÚVA;11117;538
SILVIO CICA TRAVASSOS;31999;346
SIMONE GOMES;31068;373
SIMONE HIEDA;20033;39
SINIR BENTO;54123;547
SOFIA Y.;50882;10
SOL;14567;133
SONIA MONTENEGRO;50009;255
SONINHA DE JESUS;23692;262
SONRISAL;31211;727
SOSTENES BARBOSA;65789;1091
SOUZA SANTOS;55255;11405
STEFANUS TETÉU;44048;381
STELA MARIS;23654;201
STEVE HWANG;19888;357
SU SAAD;31310;355
SUB NEZINHO ( RECO);13117;1050
SUELI AMORIM;11112;298
SUELI DA PAZ;31017;318
SUELY PINGO DE OURO;44444;670
SYDARA;15325;176
SÉRGIO GIM;15051;392
SÉRGIO OSICRAN;14689;2182
T. KAÇULA;65656;1011
TACHIBANA;13600;1159
TAINAH BENTO VIDAL;50885;88
TAIU BUENO;14777;2929
TAKARA;43026;895
TANDÃO;19200;2559
TANIA MIRANDA;23069;69
TAVOLIERI;14300;628
TECA MARQUES;27477;154
TERESA RIBEIRO;13644;7903
TERESINHA NEVES;20020;3611
TEREZA R. SOUZA;43061;95
TEREZINHA;65147;42
TESTA;40651;215
THABATA YAMAUCHI;10333;3858
THAIS HORTA;43377;824
THIAGO ARIKAWA;15651;571
TIA TELMA;28855;271
TIAGO BERNARDO;19069;195
TIGUEIS;12000;1658
TIO ARCANOS;50368;169
TIO PEÇAS ( LAILSON );17017;352
TIRRIM;14153;582
TIÃO BEZERRA;13663;3487
TIÃOZINHO FORÇA JOVEM;27576;425
TONHÃO SOM DE CRISTAL;12510;151
TONINHO CURUÇÁ;19017;290
TONINHO DELPPEM;33162;243
TONINHO FRANCISCO;70888;246
TONINHO PAIVA;22611;7876
TONINHO SILVA;15190;1320
TONINHO VESPOLI;50650;3860
TOTÓ;33300;28
TRANQUILLO MORTELE;29329;574
TRIPOLI;43666;21551
TUNA;65444;443
TÂMIDE SZULKIN;11456;353
VALDECIR CABRA BOM;14100;5791
VALDETINO QUEIROZ;65151;110
VALDIR SAMPELL;23267;838
VALDIR TIMOTEO;44100;522
VALERIA DOMINGOS;27026;23
VALMIR MOTORISTA LOBO;43235;1046
VALMIR É FIEL;65017;504
VALTER LIMA;43070;382
VALTER TOMAZ;44005;413
VALÉRIA LEÃO;65010;155
VALÉRIA MAURÍCIO;50413;70
VANDA MARIA;19707;2
VANDERLEI MACHADO;14611;397
VANDERLUCIO;43333;2484
VANIA PLACIDO;44054;103
VAPAM RUANA;28820;74
VARGAS NETO;44077;270
VARGNER DO REPÚDIO;15568;338
VAVA DOS TRANSPORTES;13015;10710
VERA;19194;125
VERA ANGELO;23150;49
VERA DIAS;23112;220
VERA DONDA;12311;30
VERA GOULART;13713;624
VERA LINS;14031;459
VERA LUCIA;14027;242
VERA MOREIRA;13171;46
VERA VIEIRA;65315;10
VERGUEIRO;70008;83
VERINHA;13678;6923
VICENTE DO ESTACIONAMENTO;23154;254
VICENTE VISCOME;44700;2137
VICTOR KOBAYASHI;55100;7706
VILMAR TEIXEIRA;27778;159
VILSON ANTONIO;16003;24
VINICÍUS MOREIRA;14514;370
VIRA LATA;10520;672
VITAL BALAIO;14030;623
VITOR DO TAXI;43603;182
VITOR RODRIGUEZ DE ARAUJO;70234;305
VITÓRIO QUEIROZ;50018;220
VIVI D'AGOSTINO;55855;295
VIVIANE DINIZ;50887;11
VIVIANI FERRAZ;22626;2679
VLADIMIR SOUZA;44999;143
VOGPP - MARIA DE LOURDES;23147;109
VOVÓ DA FIEL;55111;3118
WADIH MUTRAN;11624;4956
WADÃO E O JEGUE DENTE DE OURO;15234;296
WAGNER MANFRE;23011;438
WAGNER S. CASTRO;27644;275
WALTER FELIX;43151;445
WATANABE;14169;1173
WELLINGTON REIS;40130;736
WILLAMS ARIS;50600;743
WILLIAM DO GARAJÃO;65374;309
WILLIAM FREITAS;10200;1299
WILLIAM KRONENBERGER;20111;306
WILMA MIRANDA;14040;312
WILSON BEIJA FLOR;19799;241
WILSON GUANAIS;12195;92
XAVIER LOPES;43445;510
XOXO;23623;424
YAMADA;23222;2897
YEDA;19221;77
ZAMBERETTI;25225;5062
ZEBRÃO;14013;238
ZELÃO;13133;5835
ZENAIDE;33600;26
ZENILTON;31111;624
ZORAIDE NOBRE;10910;321
ZÉ CABELEIREIRO;50450;791
ZÉ CARLOS;13122;2957
ZÉ CLAUDIO;31452;518
ZÉ DA LUA;19299;168
ZÉ LOPES;45122;2096
ZÉ MARIA DO FUTEBOL;27100;455
ZÉ MINEIRO;33100;816
ZÉ PILLIN;28851;181
ZÉ TRINDADE;65650;191
ZÉ TURIN;45800;6358
ZÓZIMO MARANHÃO;33700;161
ÁLVARO;27222;293
ÁQUISON;33933;95
